"Nom de la formation","Chemin","Type de formation","Cours résumé","Description","Mots clés","Date de la session","Date de la session","Conditions d'accès à la formation","Lien vers la formation","Lieu de la formation","Organisateurs","Sponsors","Nombre de personnes formées","Nombre de participants académiques","Nombre de participants non-académiques","Nombre de jours","Participation","Niveau de formation (formations universitaires uniquements)","Opérateur de la formation","Nombre de sessions","Reccurance","Taux de satisfaction des apprenants","Temps de formation","Thème (formations professionnelles uniquement)"
"Formation au logiciel R","https://www.france-bioinformatique.fr/sites/default/files/PRABI.png","","Formation à  l'utilisation de R appliqué à la bioinformatique","","","09-07-2018","09-10-2018 to 11-10-2018","","https://www.biosciencesco.fr/formations/bio-informatique/formation-au-logiciel-r...","Lyon","","","","","","3.00","Payante","","Prabi Lyon-Sud","","","","",""
"Analyse des données RNA-Seq sous l'environnement Galaxy","https://www.france-bioinformatique.fr/sites/default/files/PRABI_0.png","","Analyse des données RNA-Seq sous l'environnement Galaxy","","","09-07-2018","14-11-2018 to 16-11-2018","","https://www.biosciencesco.fr/formations/bio-informatique/analyse-des-donnees-rna...","Lyon","","","","","","2.50","Payante","","Prabi Lyon-Sud","","","","",""
"RNASeq alignment and transcripts assemblies","","","RNAseq analysis","The Toulouse Genotoul bioinformatics platform, in collaboration with the MIAT unit organize a training that focuses on (protein coding) gene expression analysis using reads produced by ‘RNA-Seq’. This training session is designed to introduce sequences from ‘NGS’ (Next Generation Sequencing), particularly Illumina platforms (HiSeq). You will discover the standards file formats, learn about the usual biases of this type of data and run different kinds of analyses, such as spliced alignment on a reference genome, novel gene and transcript discovery, expression quantification of coding genes and transcripts. The biostatistics part (differential expression analysis) is NOT included.
","","14-11-2018","17-10-2019 to 18-10-2019","S’inscrire (via le site web) et payer 165 euros la journée pour un académique et 550 euros la journée pour un privé.
","http://bioinfo.genotoul.fr/index.php/events/rnaseq-alignment-and-transcripts-ass...","Auzeville-Tolosane","The Toulouse Genotoul bioinformatics platform, in collaboration with the MIAT unit","","10/ an","","","1.50","Gratuite","","","1","","","1 jours / an","Analyse des données RNAseq"
"Manual curation of Transposable element annotation","https://www.france-bioinformatique.fr/sites/default/files/Capture%20d%E2%80%99e%CC%81cran%202018-12-05%20a%CC%80%2009.40.29_0.png","","URGI organizes a BYOD-­style (Bring Your Own Data) training course on manual curation of transposable elements reference sequences","URGI organizes a BYOD-­style (Bring Your Own Data) training course on manual curation of transposable elements reference sequences obtained with REPET pipelines.
","","05-12-2018","04-02-2019 to 06-02-2019","","https://urgi.versailles.inra.fr/Platform/Training/Manual-curation-of-Transposabl...","URGI ­ INRA,  Bat 18 ­ Route de Saint­Cyr ­ RD10, 78026 Versailles Cedex","","","","","","3.00","Payante","","URGI platform","","","","",""
"RNaseq with Galaxy ","","","","","","17-12-2018","20-05-2019 to 21-05-2019","","","Roscoff","","","","","18","2.00","Payante","","formation permanente sorbonne université","","","","",""
"Linux For Dummies",""," Formation professionnelle"," This course  offers a general introduction to work with Linux using the HPC South green clusters."," 
This course offers an introduction to work with Linux. We will describe the Linux environment, the first linux commands so participants can start to utilize command-line tools and feel comfortable using bioinformatics softwares through a linux terminal.
Prerequisites
No experience required

Program
Connecting to a distant HPC
Navigating through a Unix file system
Creating and deleting files
Manipuling and filtering file text
Basics searching for text within a file


Learning objectives
After this course, participants should be able to:
Connect to a Unix / Linux system
Manipulate files and directories within the Linux system
Work with text files
Run programs from the command-line


Instructors
Christine Tranchant - christine.tranchant@ird.fr
Ndomassi Tando - ndomassi.tando@ird.fr
Bruno Granouillac - bruno.granouillac@ird.fr
François Sabot - francois.sabot@ird.fr
Gautier Sarah  - gautier.sarah@cirad.fr

","","17-12-2018","12-03-2018","","https://southgreenplatform.github.io/trainings//linux/","Centre IRD, Montpellier","South Green Platform","","","20","","1.00","Gratuite","","South Green platform","","Oui","85%","",""
" Linux For Jedi",""," Formation professionnelle","This course offers to develop and enhance advanced Linux shell command line and scripting skills for the analysis of NGS data.","This course offers to develop and enhance advanced Linux shell command line and scripting skills for the processing and analysis of NGS data. We will work on a HPC server and use linux powerful commands to allow to analyze big amount of biological data.
 
Prerequisites
Basic knowledge of Linux (Linux for dummies required)

Program
Connecting to a distant HPC
Manipuling text files
Complex searching for text in a file
Combining several commands
Writing simple shell scripts


Learning objectives
After this course, participants should be able to:
Manipulate and search within text files
Chain and combine commands
Perform the same actions on many files
Write a simple shell script


 


Instructors
Christine Tranchant (CT) - christine.tranchant@ird.fr
Ndomassi Tando (NT) - ndomassi.tando@ird.fr
Bruno Granouillac (BG) - bruno.granouillac@ird.fr​
François Sabot (SB) - francois.sabot@ird.fr
Gautier Sarah (GS) - gautier.sarah@cirad.fr

","","17-12-2018","13-03-2018","","https://southgreenplatform.github.io/trainings/linuxJedi/","Centre IRD, Montpellier","South Green Platform","","","24","","1.00","Gratuite","","South Green Platform","","Oui","85%","",""
"Survival Guide for Perl applied to Bioinformatics",""," Formation professionnelle","This course provides an introduction to programming using Perl."," 

			This course provides an introduction to programming using Perl and at the end of the training, participants could write simple Perl programs to handle biological data and to undertstand more complex Perl programs written by others.
			
Prerequisites
Basic knowledge of Linux (Linux for dummies required)

Program
Perl data structures (scalar,arrays, hashes)
Structure control ( loops)
Basic functions, and operators.
Writing and running your own program
Passing options and files to his own script.
Regular expressions


Learning objectives
Writing simple Perl programs to analyze data files
Understanding Perl programs written by others
Using Perl basic syntax and modules in their own script
Run programs from their script, parsing and extracting data from data files


Instructors


Christine Tranchant  - christine.tranchant@ird.fr
François Sabot - francois.sabot@ird.fr
Ndomassi tando - ndomassi.tando@ird.fr

","","17-12-2018","02-10-2017 to 06-10-2017","","https://southgreenplatform.github.io/trainings//perl/","ISRA, Bel Air, Dakar (Sénégal)","Formation permanente IRD, LMI LAPSE","","","20","","5.00","Gratuite","","Formation permanente IRD, LMI LAPSE","","Oui","80%","",""
"Introduction to High-performance computing","",""," This course provides a general introduction to High Performance Computing (HPC) using the HPC South green clusters.","This course offers an introduction on how to work with HPC Southgreen clusters. It is intended for new users, with the goals of improving user productivity and minimizing the obstacles. The HPC Southgreen cluster are presented, together with the tools to be able to use it. Module load notion, interactive usage and batch jobs submittions will be developped.
Prerequisites
Linux Basics

Program
Introduction to HPCs architecture
Discover Sun grid Engine (SGE)
Data Management on clusters
Interactive Usage
Submit batch jobs


Learning objectives
After this course, participants should be able to:
Use the HPC resources interactively
Manage data copies
Use module load
submit batch jobs


Instructors


Ndomassi Tando (NT) - ndomassi.tando@ird.fr
Bertrand Pitollat(BP) - bertrand.pitollat@cirad.fr
Alexis Dereeper (AD) - alexis.dereeper@ird.fr​

","","17-12-2018","15-03-2018","","https://southgreenplatform.github.io/trainings//HPC/","Centre IRD, Montpellier","South Green Platform","","","21","","0.50","Gratuite","","South Green Platform","","","85%","",""
"Installing and Managing a High-Performance Computing (HPC) Cluster ",""," Formation professionnelle","This course ran for 5 days covering all the concepts necessary to  install and manage a high-performance computing (HPC) cluster. ","This course ran for 5 days covering all the concepts necessary to  install and manage a high-performance computing (HPC) cluster. During this course,  a HPC cluster were installed at CERAAS (Thiès, Sénégal)  by the participants, IT managers from western africa (IRD, ISRA, CERAAS).
","","17-12-2018","01-10-2018 to 05-10-2018","","https://southgreenplatform.github.io/trainings//ngsTrainings/","CERAAS, Thiès (Sénégal)","Formation permanente IRD, LMI LAPSE, DP IAVAO","","","8","","5.00","Gratuite","","Formation permanente IRD, LMI LAPSE, DP IAVAO","","Non","90%","",""
"Analyse de données NGS dédiée à la génomique végétale en Afrique de l'Ouest",""," Formation professionnelle","Cette formation présente les technologies de séquençages et les différentes analyses possibles pour exploiter ces données.","Les avancées spectaculaires des technologies de séquençage de 2ème et 3ème génération sont une véritable révolution pour la recherche en science de la vie. Ces techniques permettent le séquençage en quelques semaines de génomes entiers d’organismes complexes, générant une explosion du volume de données génomiques. 
			Toutefois l’analyse de telles masses d’informations nécessite des compétences en linux, en bioinformatique ainsi qu’une bonne connaissance et maîtrise de nombreux algorithmes et logiciels. La réalisation de ces analyses nécessite également l’accès à des ressources de calcul telles que des clusters de calcul. 
			Le DP IAVAO et le LMI LAPSE en collaboration avec la plateforme bioinformatique South Green organisent, du 4 au 12 Octobre 2018, une formation en bioinformatique dédié à l’analyse de données de séquençage dont les objectifs sont de présenter les technologies de séquençage et les différentes analyses bioinformatiques pour exploiter au mieux cette masse de données afin de pouvoir réaliser des projets génomiques à grande échelle sur leurs modèles (plantes et pathogènes).
Prérequis
Aucun

Programme
Linux et lignes de commandes 
Initiation à l’utilisation du cluster du CERAAS 
Présentation des technologies de séquençages 
Appel de SNP sur des données WGS 
Post analyse de données de SNPs
Outils Genome Harvest 


Objectifs
Après la formation, les participants seront capables de :
se connecter à un cluster Linux
lancer des programmes/analyses bioinformatiques
définir les étapes pour analyser des données de séquençage
analyser des données de séquençage
utiliser des gestionnaires de workflow tel que Galaxy ou TOGGLe


Instructors
Christine Tranchant (CT) - christine.tranchant@ird.fr
Ndomassi Tando (NT) - ndomassi.tando@ird.fr
Bertrand Pitollat (BP) - bertrand.pitollat@cirad.fr
François Sabot (SB) - francois.sabot@ird.fr
Manuel Ruiz (MR) - manuel.ruiz@cirad.fr
Gautier Sarah (GS) - gautier.sarah@cirad.fr

","","17-12-2018","04-10-2018 to 12-10-2018","","https://southgreenplatform.github.io/trainings//ngsTrainings/","CERAAS, Thiès (Sénégal)","South Green Platform, LMI LAPSE, DP IAVAO","","","20","","5.00","Gratuite","","Formation permanente IRD, LMI LAPSE, DP IAVAO, Platform South Green","","Non","85%","",""
"Initiation to NGS Workflow Managers developed within the South Green Platform: Galaxy and TOGGLe","","","This course provides introduction to workfow managers to quickly develop and run their own pipelines.","This course introduces the 2 commonly used workflow managers in the South Green Bioformatics platform, both in a theoretical and practical way, with hands-on practice sessions. It will help you to quickly develop and run your own pipelines using these tools through an graphical user or command-line interface.
 
Prerequisites
Prior knowledge of workflow managers not necessary Basic knowledge of Linux (Linux for dummies required) - TOGGLe practical

Program
Why using a workflow manager to analyse data ?
How to perform an analysis ?
How to create your own workflow ?
How to execute it?
Use case


Learning objectives
Explaining what Workflow Managers are,
	in which way they differ from each other.
How you can use them in your research.
Creating your own workflow
Analysing your NGS data with Galaxy and TOGGLe


Instructors
Alexis Dereeper (AD) - alexis.dereeper@ird.fr
Sebastien Ravel (SR) - sebastien.ravel@cirad.fr
Christine Tranchant (CT) - christine.tranchant@ird.fr

","","17-12-2018","23-03-2018","","https://southgreenplatform.github.io/trainings//galaxyToggle/","Centre IRD, Montpellier","South Green Platform","","","15","","1.00","Gratuite","","South Green Platform","","","85%","",""
"RNASeq analyses (using Galaxy and TOGGLe)","","","This course offers an introduction to RNASeq analyses using two different workflow management systems: Galaxy and TOGGLe","This course offers an introduction to RNASeq analyses using two different workflow management systems: Galaxy and TOGGLe. This includes reference-based mapping, estimates of transcript levels, differential expression (DE) analyses, visualization of statistics results.
Prerequisites
Workflow management system (Galaxy, TOGGLe)

Program
Mapping of RNASeq against a transcriptome reference with kallisto (Galaxy)
Mapping of RNASeq against an annotated genome reference with TopHat (TOGGLe)
Differential expression analysis using EdgeR and DESeq2
Plots, clustering, co-expression network: degust, WGCNA


Learning objectives
Manipulate packages/tools available for searching DE genes
Think about different normalisation methods
Detect differentially expressed genes
Compare results between two approaches


Instructors
Alexis Dereeper - alexis.dereeper@ird.fr
Sebastien Cunnac - sebastien.cunnac@ird.fr
Sebastien Ravel - sebastien.ravel@cirad.fr
Christine Tranchant  - christine.tranchant@ird.fr

","","17-12-2018","16-03-2018","","https://southgreenplatform.github.io/trainings//rnaseq/","Centre IRD, Montpellier","South Green Platform","","","10","","1.00","Gratuite","","South Green Platform","","","80%","",""
"Metabarcoding analyses (using FROGS in Galaxy and Phyloseq)",""," Formation professionnelle","This course offers an introduction to metabarcoding analyses at two different levels (FROGS pipeline, PhyloSeq R package).","This course offers an introduction to metabarcoding analyses at two different levels/steps: bioinformatics with FROGS pipeline in the Galaxy environment, biostatistics with PhyloSeq R package. This includes preprocessing, clustering and OTU picking, taxonomic assignation, estimation of diversity, visualization of statistics results.
Prerequisites
Galaxy, R knowledge

Program
Introduction to metagenomics and metabarcoding
Pre-processing, Clustering, taxonomic affiliation (FROGS)
Handling and visualizing OTU table using PhyloSeq R package (PhyloSeq)


Learning objectives
Manipulate tools available for metabarcoding analysis
Study sample diversity by using NGS and post-NGS analysis tools
Visualize diversity metrics in metabarcoding approach​


Instructors
Julie Orjuela - julie.orjuela@ird.fr
Florentin Constancias - florentin.constancias@cirad.fr
Alexis Dereeper - alexis.dereeper@ird.fr

 
","","18-12-2018","23-04-2018","","https://southgreenplatform.github.io/trainings//metabarcoding/","Centre IRD, Montpellier","South Green Platform","","","10","","1.00","Gratuite","","South green Platform","","Oui","85%","",""
"Introduction to R Language","","","","https://cnrsformation.cnrs.fr/stage-19024-Langage-R--introduction.html?a...
","Biostatistiques","18-12-2018","21-05-2019","Formation payante dans le catalogue CNRS.
","","CBiB","","","","","","4.00","Payante","","CNRS","","","","",""
"INTRODUCTION À L'ANALYSE DE DONNÉES",""," Formation universitaire","","
L'utilisation de plus en plus répandue de techniques d’imagerie et de séquençage à haut-débit en biologie est en train de révolutionner les sciences du vivant et de modifier en profondeur leurs pratiques. Dans ce contexte, des outils statistiques sont développés pour permettre d’analyser ces données de hautes dimensions, et la maîtrise de ces outils devient de plus en plus nécessaire pour produire des résultats de bonne qualité. Ce cours de 4 semaines couvrira les étapes nécessaires pour mettre en place un processus d’analyse de données, depuis la planification de l’expérience jusqu’à la fouille des données en passant par l’échantillonnage, les test d’hypothèses, la modélisation statistique etc.
Ce cours s’adresse en priorité aux étudiants de première année de thèse de l’Institut Pasteur. Tout étudiant en thèse sera automatiquement inscrit à ce cours, mais les élèves de 2e année, de 3e année ou les post-doctorants peuvent également s’inscrire, dans la limite des places disponibles. Il est à noter que le cours est obligatoire pour les étudiants de 1ère année. Des dispenses partielles ou totales sont possibles pour les étudiants qui ont déjà des connaissances en statistique, en mathématique ou en physique. Le cours déroulera sur 4 semaines, 4 jours par semaine, trois heures par jour. Chaque séance de trois heures alternera cours magistral et mise en pratique. Il y aura deux sessions : la première commencera le 22 octobre 2018 et la deuxième le 14 janvier 2019.
Chacune de ces deux sessions sera précédée d’une séance d’introduction à l’informatique. Cette séance proposera des notions d’architecture de l’ordinateur, de système d’organisation des fichiers et de format de fichiers. Chaque session sera également suivie d’un cours optionnel sur l’analyse et le traitement des images.
Pour plus d’information, ainsi que pour les inscriptions au module optionnel et les demandes d’exemption, rendez-vous sur la page du cours : https://c3bi.pasteur.fr/introduction-to-data-analysis-2018-19/
Thèmes abordés
Le module d’analyse de données couvrira un large champ de notions nécessaires aux étudiants pour planifier leurs expériences, analyser et explorer leurs données, interpréter les résultats et générer des figures à des fins de publication. Il abordera des notions de base en statistique, dont les analyses uni- et multivariées, les analyses descriptives, les distributions statistiques usuelles utilisées en biologie, ainsi que les tests d’hypothèses. Les exercices et travaux pratiques seront réalisés avec R et RStudio. Plusieurs séances seront consacrées à une introduction à l’utilisation du langage de programmation R avant d’aborder les notions de statistiques et d’analyse de données.
Le module d’analyse d’images introduira les principes de base de l’analyse d’image, et portera plus particulièrement sur l’extraction d’information quantitative d’images de microscopie. Ce cours est destiné aux personnes ayant peu ou pas d’expérience en analyse d’image. Il sera très orienté sur la pratique : des cours magistraux de courte durée seront immédiatement suivis de sessions pratiques. Il aidera à la fois les microscopistes débutants et experts qui n’ont jamais eu de formation concrète en analyse d’image.
 

","Analyse d’images, Biostatistiques, Statistique descriptive, Tests statistiques, Régression, Analyses multivariées, Réduction de dimension","21-12-2018","14-01-2019 to 08-02-2019","

 


","https://www.pasteur.fr/fr/introduction-data-analysis","Institut Pasteur","","INCEPTION","","","30","20.00","Gratuite","Master (M2 uniquement)","","","Oui","","",""
"Data analysis",""," Formation universitaire","","Biological data are often complex and challenging to analyse due to non-normal distributions, nonlinear relationships, spatial/temporal structures and high dimensionality. This course will introduce the students to key concepts and statistical tools for the experimental design and analysis of biological data. After a brief refresher on basic elements of statistics, the students will be made familiar with hypothesis testing, univariate statistical tests (e.g. ANOVA), linear models, descriptive multivariate analyses such as Principal Component Analysis (PCA) and clustering. The course will alternate theoretical aspects and computer exercises on small datasets with the R Studio software. The students will be assigned a small project involving the different concepts and tools covered by the course.
","Biostatistiques, Statistique descriptive, Tests statistiques, Régression, Analyses multivariées, Réduction de dimension","21-12-2018","08-10-2018 to 12-10-2018","","https://www.enseignement.biologie.ens.fr/spip.php?article91","Ecole Normale Supérieure","","","","","20","5.00","Gratuite","","","","Oui","","",""
"COURS PROGRAMMATION SCIENTIFIQUE EN PYTHON",""," Formation professionnelle","","The ever growing usage of high throughput technologies in Biology is revolutionizing the life sciences and profoundly changing its practices. Scripting languages are used on a daily basis in life science labs in order to mine huge data sets produced by high-throughput devices. This two-week course will give participants basic knowledge in python and state-of-the-art machine learning methods to analyze their own data sets.
Description:
This course is intended for PhD students, engineers and research scientists willing to acquire knowledge in scientific programming. Throughout the course, we will use Python language to lead participants from the basics of computer programming to more advanced techniques such as practical machine learning techniques.
","Développements technologiques de l‘Information et de la Communication, Outils, Intégration d'outils, Développement de workflows, Parallélisation","21-12-2018","27-03-2017 to 31-03-2017","","https://www.pasteur.fr/fr/programmation-scientifique-python","Institut Pasteur","","INCEPTION","","","30","5.00","Gratuite","","","","Non","","",""
"Bioinformatics of protein--protein interactions for wet lab scientists",""," Formation professionnelle","","Understanding physical and functional interactions between molecules in living systems is crucial in many biological processes. Several powerful methods and techniques have been developed to generate molecular interaction data, focusing mainly on protein­-protein interactions (PPIs). In particular, PPIs involving partially or completely unstructured regions are building blocks of regulatory and signalling networks that control cell response to external and internal cues. Exploring these interactions may help understanding a protein’s function and behavior, predicting biological processes that a protein of unknown function is involved in, and characterising protein complexes that can be used to modulate or perturb known biological processes and pathways.
","","21-12-2018","03-04-2017 to 07-04-2017","","https://c3bi.pasteur.fr/training-bioinformatics-of-protein%C2%ADprotein-interact...","Institut Pasteur","","INCEPTION","","","24","5.00","Gratuite","","","","Non","","",""
"« STATIMAGE», Statistiques pour l’imagerie de microscopie",""," Formation professionnelle","","


L’objectif de cette formation est de donner aux ingénieurs des plates-formes d’imagerie cellulaire et aux personnes qui utilisent ces technologies, des outils statistiques adaptés aux problématiques du domaine. Dans le but de traiter les grandes séries d’images acquises selon les diverses modalités, il est proposé de renforcer la maîtrise des outils statistiques pour une analyse pertinente mais aussi pour une optimisation des acquisitions.
La formation se déroulera du lundi midi au mercredi après-midi pour 2 demi-journées de cours (rappel des notions de bases, modélisation, plans d’expériences) et 3 demi-journées de travaux pratiques/dirigés.



","Analyse d’images, Extraction d’informations, Biostatistiques, Statistique descriptive, Analyses multivariées","21-12-2018","19-06-2017 to 21-06-2017","","https://france-bioimaging.org/fr/events/statimage-statistiques-pour-limagerie-de...","CIEP, Sèvres","","","","","15","3.00","Gratuite","","","","Non","","",""
"Linking gene and function, comparative genomics tools for biologists",""," Formation professionnelle","","More than twenty years after the first bacterial genome has been sequenced, microbiologists are faced with an avalanche of genomic data. However the quality of the functional annotations of the sequenced proteome is very poor with more than half of the sequenced proteins remaining of unknown function. After taking this course, students should master an array of web-based tools to help to predict gene function. This will allow them to generate in silico based functional predictions and produce illustration for manuscripts that use comparative genomic methods. For background read (https://www.ncbi.nlm.nih.gov/pubmed/20001958)
","Bases de données et systèmes d’informations, Génomique comparative, Comparaison des génomes, Comparaison des voies fonctionnelles et régulatrices","21-12-2018","24-10-2017 to 26-10-2017","","https://c3bi.pasteur.fr/training-linking-gene-and-function-comparative-genomics-...","Institut Pasteur","","","","","20","3.00","Gratuite","","","","Non","","",""
"WAVES Training","","","","Workshop to train users to WAVES : a Web Application for Versatile Enhanced Bioinformatic Services
","","21-12-2018","18-12-2018","La formation s'adresse à toute personne souhaitant installer/administer un serveur WAVES
","http://www.atgc-montpellier.fr/waves/trainings.php","Institut Pasteur (Paris)","Plateforme ATGC","IFB","","","","1.00","Gratuite","","Plateforme ATGC","","Oui","","",""
"Analyse de séquences",""," Formation professionnelle","","


Les biologistes sont régulièrement confrontés à des gènes (ou des protéines) de fonctions inconnues ou mal annotés. Dans ce contexte, maîtriser quelques techniques basiques d’analyse de séquences peut se révéler d’une aide précieuse. 
L’objectif de cette formation est de présenter, au travers de l’utilisation de sites web spécialisés, quelques grands principes sur l’analyse de séquence. L’ensemble de la formation combine exposés théoriques (fondements méthodologiques des programmes) et applications pratiques (mise en relation des notions théoriques avec les paramètres des programmes et les résultats obtenus) pour permettre une utilisation autonome et critique de quelques logiciels d’analyse des séquences biologiques.



","Analyse de séquences, Génomique comparative","21-12-2018","19-03-2018 to 23-03-2018","","https://c3bi.pasteur.fr/training-analyse-de-sequences/","Institut Pasteur","","","","","","5.00","Gratuite","","","","Oui","","",""
"WAVES Training 2019","","","","Workshop to train users to WAVES : a Web Application for Versatile Enhanced Bioinformatic Services
","","31-01-2019","11-03-2019","","","Lille","Plateforme ATGC, Plateforme bilille","IFB","","","","1.00","Gratuite","","Plateforme ATGC","","","","",""
"8ème école de bioinformatique AVIESAN-IFB","https://www.france-bioinformatique.fr/sites/default/files/EBA2016_0_1_1_0.jpg"," Formation professionnelle","Initiation au traitement des données de génomique obtenues par séquençage à haut débit","La formation s’adresse à des biologistes directement impliqués dans des projets “Next Generation Sequencing” (NGS). Cette édition de l’école aborde les nouveaux enjeux technologiques: elle s’articulera autour de trois ateliers en session parallèle (RNA-seq, ChIP-seq, variants DNA-seq), et inclura une introduction à l’intégration des données,  ouverture aux approches “single-cell” ainsi qu’aux technologies lectures longues (Nanopore, PacBio).
L’école vise à introduire les concepts et à manipuler les outils informatiques et à en interpréter les résultats. Elle est basée sur une alternance de courtes sessions théoriques et d’ateliers pratiques. Les participants bénéficieront d’un tutorat personnalisé pour élaborer leur plan d’analyse, et effectuer les premières étapes de traitement de leurs propres données ou de celles de leur plateforme.
","Analyse de données de séquençage NGS, Analyse de séquences, Biostatistiques","08-03-2019","","La formation s’adresse à des biologistes directement impliqués dans des projets “Next Generation Sequencing” (NGS). 
Aucune connaissance préalable des environnements Linux ou R n’est requise, mais il sera demandé aux participants de suivre une autoformation en ligne en amont, pour faciliter la prise en main de ces langages. La formation approfondira progressivement l’usage de ces environnements au fil des sessions thématiques.
","","Station biologique de Roscoff","Matthias Zytnicki, Erwan Corre et Jacques van Helden","Aviesan + IFB + Inserm","","","","","Payante","","Formation Aviesan ITMO GGB + formation IFB","","Oui","","",""
"Diplôme Universitaire en Bioinformatique Intégrative : DU-Bii 2020","","","","La bioinformatique est devenue une compétence incontournable pour l'analyse de données de nature diverse : génomes, transcriptomes, protéomes, métabolomes, structures macromoléculaires, réseaux d'interactions. L'appropriation par les biologistes des méthodes et outils de biostatistique et bioinformatique intégrative est un enjeu majeur pour la montée en compétence des équipes de recherche et des plateformes de service. L'université Paris Diderot propose en partenariat avec l'Institut Français de Bioinformatique (IFB) la deuxième édition du Diplôme Universitaire en Bioinformatique intégrative (DU-Bii). Cette formation s’adresse en priorité à des biologistes en demande d'évolution ou de reconversion professionnelle ayant déjà acquis des compétences (formation courte, autoapprentissage, expérience de terrain) en informatique ou bioinformatique/biostatistique (environnement Unix, Python ou R ou autre langage de programmation). Les prérequis sont décrits sur le portail “DU” de l’université Paris Diderot, qui présente le DU-Bii et le DU complémentaire ""Création, Analyse et Valorisation de données omiques"" (DUO) : voir la page dédiée. Le DU-Bii fournira une formation théorique et pratique, complétée par une période d'immersion sur l'une des plateformes régionales de l'IFB, qui mobilisera, dans le cadre d'un projet tutoré, l'ensemble des méthodes et outils appris durant les cours pour réaliser un projet personnel de bioinformatique intégrative. Ce projet combinera des données propres à chaque participant produites dans son laboratoire (principe BYOD : “Bring Your Own Data”) ou collectées à partir de bases de données publiques. Cette formation se déroulera pendant 8 semaines réparties entre : Les cours : 4 semaines à raison de 4 jours/semaine en présentiel (96h) du 2 mars au 2 avril 2020 avec 1 semaine de césure la semaine 12). Le projet tutoré : 20 jours sur l'une des plateformes bioinformatique de l'IFB, à répartir entre le 6 avril et le 19 juin 2020.
Renseignements et candidatures : fcsdv@univ-paris-diderot.fr
Inscriptions : voir la page page du DU-Bii de l'Université Paris Diderot
Contacts Paris-Diderot : Bertrand.Cosson@univ-paris-diderot.fr 
Contacts IFB : Helene.Chiapello@inra.fr, Jacques.van-Helden@univ-amu.fr 
","","","02-03-2020 to 19-06-2020","","","Université Paris Diderot","Helene.Chiapello@inra.fr, Jacques.van-Helden@univ-amu.fr ","","","15","","40.00","Payante","","Partenariat IFB / Université Paris Diderot","","","","",""
